Dates,Blocked,
01-06-1979 to 05-06-1979,1,
02-06-1979 to 06-06-1979,1,?
03-06-1979 to 07-06-1979,0,
04-06-1979 to 08-06-1979,0,
05-06-1979 to 09-06-1979,0,
06-06-1979 to 10-06-1979,0,
07-06-1979 to 11-06-1979,0,
08-06-1979 to 12-06-1979,0,
09-06-1979 to 13-06-1979,0,
10-06-1979 to 14-06-1979,0,
11-06-1979 to 15-06-1979,0,
12-06-1979 to 16-06-1979,0,
13-06-1979 to 17-06-1979,0,
14-06-1979 to 18-06-1979,0,
15-06-1979 to 19-06-1979,0,
16-06-1979 to 20-06-1979,0,
17-06-1979 to 21-06-1979,0,?
18-06-1979 to 22-06-1979,0,?
19-06-1979 to 23-06-1979,0,?
20-06-1979 to 24-06-1979,0,?
21-06-1979 to 25-06-1979,1,
22-06-1979 to 26-06-1979,1,
23-06-1979 to 27-06-1979,0,
24-06-1979 to 28-06-1979,0,
25-06-1979 to 29-06-1979,0,
26-06-1979 to 30-06-1979,0,
27-06-1979 to 01-07-1979,0,
28-06-1979 to 02-07-1979,0,
29-06-1979 to 03-07-1979,0,
30-06-1979 to 04-07-1979,0,
01-07-1979 to 05-07-1979,0,
02-07-1979 to 06-07-1979,0,
03-07-1979 to 07-07-1979,0,
04-07-1979 to 08-07-1979,0,
05-07-1979 to 09-07-1979,0,
06-07-1979 to 10-07-1979,0,
07-07-1979 to 11-07-1979,0,
08-07-1979 to 12-07-1979,0,
09-07-1979 to 13-07-1979,0,
10-07-1979 to 14-07-1979,0,
11-07-1979 to 15-07-1979,0,
12-07-1979 to 16-07-1979,0,
13-07-1979 to 17-07-1979,0,
14-07-1979 to 18-07-1979,0,
15-07-1979 to 19-07-1979,0,
16-07-1979 to 20-07-1979,0,
17-07-1979 to 21-07-1979,0,
18-07-1979 to 22-07-1979,0,
19-07-1979 to 23-07-1979,0,
20-07-1979 to 24-07-1979,0,
21-07-1979 to 25-07-1979,0,
22-07-1979 to 26-07-1979,0,
23-07-1979 to 27-07-1979,0,
24-07-1979 to 28-07-1979,0,
25-07-1979 to 29-07-1979,0,
26-07-1979 to 30-07-1979,0,
27-07-1979 to 31-07-1979,0,
28-07-1979 to 01-08-1979,0,
29-07-1979 to 02-08-1979,0,
30-07-1979 to 03-08-1979,0,
31-07-1979 to 04-08-1979,0,
01-08-1979 to 05-08-1979,0,
02-08-1979 to 06-08-1979,0,
03-08-1979 to 07-08-1979,0,
04-08-1979 to 08-08-1979,0,
05-08-1979 to 09-08-1979,0,
06-08-1979 to 10-08-1979,0,
07-08-1979 to 11-08-1979,0,
08-08-1979 to 12-08-1979,0,
09-08-1979 to 13-08-1979,0,
10-08-1979 to 14-08-1979,0,
11-08-1979 to 15-08-1979,1,
12-08-1979 to 16-08-1979,1,
13-08-1979 to 17-08-1979,1,
14-08-1979 to 18-08-1979,1,
15-08-1979 to 19-08-1979,1,
16-08-1979 to 20-08-1979,0,
17-08-1979 to 21-08-1979,0,
18-08-1979 to 22-08-1979,0,
19-08-1979 to 23-08-1979,0,
20-08-1979 to 24-08-1979,0,
21-08-1979 to 25-08-1979,0,
22-08-1979 to 26-08-1979,0,
23-08-1979 to 27-08-1979,0,
24-08-1979 to 28-08-1979,0,
25-08-1979 to 29-08-1979,0,
26-08-1979 to 30-08-1979,0,
